,ID,RA,Dec,M,Axis_maj,Axis_min,R_eff,PA,Area,V_cen,V_RMS,V_RMS_dendro,V_disp,V_disp_nt,V_grad_abs,V_grad_PA,j,M_vir,virial,m_lin,m_lin_vir,virial_lin,id_unresolved,id_resolvedLeaves,id_resolvedBranches,id_SCIMES,abundance_pNH3,count_c2d,count_SCUBA2,Tkin,Tdust
36,36,246.831021817,-24.4788219098,11905.6126248,0.075767393816,0.0433672514324,0.0573221040961,44.1252294064,0.0356156728521,3.75044798276,0.384987558176,0.373935096025,0.428874702564,0.377563724706,2.8022060759,17.1462171535,0.00368302196268,9.80304760822,0.00082339715873,66728.5479859,85.5084418377,0.00128143717222,False,False,True,36,3.80527309738e-11,4,17,11.5958680786,17.7872092285
37,37,246.790043811,-24.5066388359,51437.6473051,0.130516699304,0.0552762575597,0.0849380638264,50.8157467412,0.0798540875525,3.72934295756,0.333019500591,0.321572449539,0.381496591037,0.324672410463,0.527141443284,43.0739906242,0.00152121943953,11.4937516429,0.000223450181823,167362.166852,67.6596046878,0.000404270606437,False,False,True,37,1.72154840263e-11,7,20,11.245106993,18.6298292332
38,38,247.074470344,-24.6098302266,474.415022564,0.052404326565,0.0166896009633,0.0295737603142,80.4746694383,0.0123717600433,3.89708983208,0.234525024882,0.291931850127,0.275739890632,0.227307739116,3.89842418601,41.7521403796,0.00136383609926,2.09066223954,0.00440682132754,3844.44422302,35.3465744181,0.00919419618744,False,False,True,38,1.07023112195e-10,1,2,6.8275459231,17.728107246
39,39,246.764195363,-24.4902889222,178708.866116,0.195526103957,0.114506387251,0.149629501695,120.68129567,0.163907075483,3.62455424271,0.367969696457,0.366272857598,0.41598434692,0.359771917387,0.358652472046,148.048398942,0.00321194632519,24.0740598523,0.000134711054776,388135.734375,80.4455658131,0.000207261426064,False,False,True,39,7.99163307393e-12,11,40,12.2202307903,20.276896856
40,40,246.764844208,-24.4895930215,168386.32441,0.194306608462,0.113455978007,0.148476416633,120.243869129,0.158246058009,3.62280034577,0.365744156775,0.359923331933,0.414281655599,0.357446748598,0.316169285859,124.601674834,0.00278801191122,23.6933796023,0.000140708455306,368011.611453,79.7883601302,0.000216809355051,False,False,True,40,8.3358633964e-12,11,39,12.2914013392,20.2564980611
41,41,246.763382133,-24.4885296174,78312.3658746,0.159433888467,0.114522785946,0.135125175602,113.736843209,0.0965372185201,3.68365352712,0.331632477846,0.332176219604,0.385280968746,0.322310819378,0.662731455304,95.3637321423,0.00484027590622,18.6495996978,0.000238143740002,208589.278632,69.0086048537,0.000330834860288,False,False,True,41,1.3942277111e-11,10,32,12.4864582164,19.7874877488
42,42,246.769376726,-24.4935511489,119213.019985,0.175317540172,0.111939357798,0.140089017619,119.100659073,0.128028971358,3.66061199798,0.346178607033,0.33826068251,0.395672057577,0.337668912115,0.406796840663,47.5159075489,0.00319334427387,20.3916787745,0.000171052446932,288762.369846,72.7811470201,0.000252045122981,False,False,True,42,1.03777879005e-11,11,35,11.920082323,19.9089004269
43,43,246.769313385,-24.4933796543,116110.939224,0.174732408875,0.112110840553,0.139962127845,118.946555038,0.125929521169,3.66229274731,0.344790968974,0.337149542729,0.394521561596,0.336234443908,0.413230347103,46.6383821043,0.00323797336691,20.2549022666,0.000174444392595,282190.214654,72.3585107575,0.000256417504931,False,False,True,43,1.05974787557e-11,11,35,11.9362177706,19.8887824283
44,44,246.764755645,-24.4896524169,170247.074631,0.19506229431,0.113361005871,0.14870258199,120.330338981,0.159370763468,3.62186034166,0.366590629629,0.360628489985,0.415005339938,0.358317193749,0.311969937771,122.667684373,0.00275936884482,23.8124459791,0.000139869927461,370636.858421,80.0673588192,0.000216026433961,False,False,True,44,8.2698588787e-12,11,40,12.2849864214,20.2660082396
45,45,246.998638498,-24.5618468422,248.413343381,0.0281076252401,0.0151092307121,0.0206078770018,168.985005153,0.00742305602601,4.10120867189,0.170385699043,0.202130267078,0.220010688492,0.16112337785,2.89574234749,349.780813673,0.000491910865872,0.927468017267,0.00373356762822,3753.12510776,22.5027550675,0.005995738064,False,False,True,45,2.39305889085e-10,0,1,6.28957426941,17.0139335868
