,ID,RA,Dec,M,Axis_maj,Axis_min,R_eff,PA,Area,V_cen,V_RMS,V_RMS_dendro,V_disp,V_disp_nt,V_grad_abs,V_grad_PA,j,M_vir,virial,m_lin,m_lin_vir,virial_lin,id_unresolved,id_resolvedLeaves,id_resolvedBranches,id_SCIMES,abundance_pNH3,Tkin,Tdust
32,32,83.8425215656,-5.11827268848,582465.138436,0.657881710842,0.153511176164,0.317792692188,172.357370634,0.904339720378,11.1058768974,0.331789142532,0.450104571174,0.412749378219,0.31706531621,0.921282421842,76.4350058699,0.0372169336754,50.3378764085,8.64221274146e-05,375979.702604,79.1992352969,0.00021064763536,False,False,True,32,2.51927714449e-11,19.5692403766,26.9202711584
33,33,83.8474667771,-5.13193583995,364581.842938,0.571550302334,0.11958125818,0.261432026092,178.003706514,0.66339421535,11.1228142817,0.326600648973,0.43283524883,0.408011660786,0.311751902271,1.04213037192,77.4300462643,0.0284904705345,40.4652350738,0.000110990812784,270883.687693,77.3915034029,0.000285700124884,False,False,True,33,3.46866742652e-11,19.415849004,26.2361549905
34,34,83.8476730574,-5.13336433504,324281.135519,0.567769241353,0.115608723831,0.256201243993,178.323572843,0.613480833894,11.1246332345,0.32356628185,0.424810241255,0.405228493746,0.308646159129,1.11974856202,78.051400838,0.0293997050228,39.1164391596,0.000120625083839,242544.873655,76.3392842087,0.000314742930074,False,False,True,34,3.78275814959e-11,19.3215259124,26.1042386279
35,35,83.7308725958,-4.91650922325,3.23598331382,0.0206149799008,0.0125265771288,0.016069696193,124.008398009,0.00363006410588,11.0833719248,0.385218072975,0.42768137532,0.402926555485,0.382336117525,183.465157201,150.104704637,0.018950859909,2.42570273102,0.749602978685,66.6600498042,75.4744427611,1.13222901847,True,False,False,35,6.7055869391e-09,4.53108593417,27.4326837203
36,36,83.8481193395,-5.13553187919,265314.241101,0.561157220639,0.109405793145,0.247777825487,178.884663811,0.540425793763,11.127376064,0.318421197808,0.4160418753,0.400742748213,0.303329638558,1.02158831776,76.1397717767,0.0250876963052,36.9974600697,0.000139447697629,200778.997941,74.6585373347,0.000371844356732,False,False,True,36,4.34737777858e-11,19.2201370383,26.0104426721
37,37,83.7319279117,-4.95572488048,1080.01125732,0.170449904022,0.034952505597,0.0771858226899,134.837259001,0.0671561859588,10.8973671804,0.304291361194,0.311885771556,0.353204216035,0.295797417356,14.6214502091,42.3155654525,0.0348438002957,8.95297607367,0.0082897062535,2690.75277767,57.9962469898,0.0215539114077,False,False,True,37,4.42477288774e-10,10.4407303462,25.2276368489
38,38,83.7055393799,-5.86860599568,0.721142426625,0.0139871473994,0.0129903031153,0.0134795135089,54.4948684526,0.00226879006618,9.29448471697,0.0,1.19272609034,0.0,0.0,292.201506538,191.814820705,0.0212368880986,0.0,0.0,21.8944566234,0.0,0.0,True,False,False,38,4.25899319723e-22,0.0,23.761512905
39,39,83.8094477255,-5.34478808256,8324290.29756,0.213822831672,0.0904727952495,0.139086840749,13.2460372302,0.314908061185,8.89055285621,0.479770503317,1.2501866215,0.554279014666,0.466871068154,8.33638246001,21.1208049958,0.0645074252228,39.7302267474,4.77280648887e-06,16532381.4261,142.825254113,8.63912163839e-06,False,False,True,39,7.77615813104e-13,25.0127967989,43.4326179683
40,40,83.8479365174,-5.13503538827,272634.880113,0.563137637991,0.111226043615,0.250270996091,178.661311355,0.549500954028,11.1258253192,0.31950314278,0.416935539015,0.401653783278,0.304454594653,1.07192945945,77.1838325358,0.0268563657135,37.5398363296,0.000137692713104,205593.385682,74.9983755927,0.000364789826987,False,False,True,40,4.26797187229e-11,19.2333867542,25.9876956618
41,41,83.7214601135,-4.94657417083,351.10538453,0.0962610282239,0.0265109385089,0.0505170288125,150.563070578,0.0367543990721,10.9428492619,0.289191479455,0.296512765032,0.336392130921,0.280983538694,14.2601392724,334.318133838,0.0145565801887,5.31505280866,0.0151380555322,1548.92100563,52.6065460855,0.0339633499024,False,False,True,37,7.8985537717e-10,9.58624196987,24.6164044647
