,ID,RA,Dec,M,Axis_maj,Axis_min,R_eff,PA,Area,V_cen,V_RMS,V_RMS_dendro,V_disp,V_disp_nt,V_grad_abs,V_grad_PA,j,M_vir,virial,m_lin,m_lin_vir,virial_lin,id_unresolved,id_resolvedLeaves,id_resolvedBranches,id_SCIMES,abundance_pNH3,Tkin,Tdust
45,45,52.197319996,31.1986730487,33.8137972481,0.0473833246144,0.0120629812758,0.0239078262836,20.072270541,0.00751656836319,8.19040892701,0.25144701549,0.12508995764,0.282569976346,0.246153253399,1.67829883007,287.166549117,0.000383715609198,1.77488512899,0.0524899678071,303.047489671,37.1193329735,0.122486851859,False,False,True,45,4.0933100595e-10,5.39574000031,14.8771736624
46,46,52.194123927,31.1920516404,4.56358014891,0.0284125963061,0.00755675627298,0.0146528859058,6.65830693325,0.00286345461455,8.19313991404,0.239690611129,0.0966189574641,0.255327109541,0.237117695877,1.49052513203,33.1454401212,0.000128010510782,0.888168066097,0.194620897873,68.208270481,30.3069331123,0.444329300517,False,True,False,45,1.01683636598e-09,2.51290044471,14.8890480662
47,47,52.2284060881,31.2399119462,203.350420318,0.0419196707278,0.0189317930285,0.0281711648684,139.326152546,0.0114538184582,7.52715165174,0.340986537937,0.373888586642,0.399265880631,0.33080843655,6.6984816617,316.500319409,0.00212640495038,4.17548888488,0.0205334657206,2060.0107548,74.1092692542,0.0359751856059,False,False,True,28,1.45140283756e-09,14.0058513253,18.7086449387
48,48,52.1959109621,31.2575311617,239.535492372,0.039863745864,0.0202370120982,0.0284028714628,37.5215168921,0.014854170813,8.0861173207,0.172871517982,0.142950453034,0.246910463828,0.157982837585,2.70746047021,293.894698937,0.000873668369399,1.60997587234,0.00672124141771,2551.7260258,28.3417800636,0.0111069055914,False,True,False,28,1.0070630165e-09,10.0901832183,13.7823691649
49,49,52.3444354628,31.5012484945,19088.752121,0.253481364012,0.0953967295462,0.155503354072,2.59639848749,0.191493527348,7.50553102624,0.141588182839,0.205806320022,0.177988586159,0.134920394063,0.365956860983,69.5542022602,0.00353972405101,4.58038723799,0.000239952156587,31979.6553483,14.7276155724,0.00046053077846,False,False,True,49,3.53454308136e-11,3.77656035115,15.7837551075
50,50,52.4142902798,31.6638890078,60.357860619,0.0589075358986,0.0230940847866,0.0368838125552,49.2692761349,0.0141383071593,7.64512432689,0.254341632728,0.214002588126,0.264831577642,0.252639070099,14.6015402186,241.776712059,0.00794566540604,2.40521259965,0.039849202324,435.116204239,32.6052600453,0.0749346030502,False,False,True,50,9.1179547361e-11,1.76807431081,15.6772062845
51,51,52.2647646925,31.0670150903,10.9705970291,0.023153220583,0.017268047411,0.0199952722098,16.4182134509,0.0057269092291,7.56498054359,0.494490393294,0.334797458112,0.496634142351,0.494149771081,58.1774728957,30.580805001,0.00930399536932,4.58541445015,0.417973100094,201.215359773,114.662466258,0.569849470673,False,True,False,51,3.7280516055e-10,0.689790494962,15.0715688907
52,52,52.2208142251,31.1459618443,25.1512355725,0.032650035516,0.0148074090956,0.021987779171,169.31544603,0.00608484105592,7.9376428716,0.324052340758,0.179193965953,0.332280234983,0.322729022801,31.084423467,98.6387130402,0.0060112603975,2.25719205527,0.0897447780949,327.128169056,51.3283319274,0.156905875992,False,False,True,64,3.5444057265e-11,1.75318478122,14.223947507
53,53,52.2205243676,31.1336392622,0.439204788599,0.0111152070976,0.00578946434183,0.00802191343406,105.114335695,0.000894829567047,8.16157931206,0.241140963605,0.0892059551294,0.241140963605,0.241140963605,6.27365918323,224.240858631,0.000161486735599,0.433708649839,0.987486159299,16.7799933223,27.0327430858,1.61101036017,True,False,False,64,2.75808051744e-22,0.0,14.4592543513
54,54,52.1692678549,31.1881507537,1.25891334543,0.0130129859564,0.00860741261269,0.0105833897901,69.7636733618,0.00178965913409,7.14967204892,0.796813854611,0.494409603145,0.796813854611,0.796813854611,11.6619599822,214.456516756,0.000522493775978,6.24764973925,4.96273215462,41.0829056655,295.162980063,7.1845692334,False,True,False,54,1.92445679442e-22,0.0,15.1740928581
55,55,52.2032400871,31.2092597206,1.07209815611,0.0109163212282,0.00616506122026,0.00820364484067,50.6364686755,0.00125276139387,8.1756616099,0.247678057944,0.0865894033397,0.322886370699,0.233545100128,3.04759809161,233.240926148,8.20410830089e-05,0.795214711219,0.741736851881,41.7061900706,48.4671586023,1.16210947392,True,False,False,45,6.04728053044e-09,13.9311051472,14.792662535
56,56,52.2513055903,31.3417842447,1138.68052023,0.0647783517306,0.0332605163575,0.0464172535524,43.8182695967,0.0218338414359,7.88243114469,0.27052755375,0.182262923611,0.349653414548,0.25574900111,0.813760579889,120.687014626,0.00070131886261,5.27634416884,0.00463373534114,7464.73292044,56.836022869,0.00761393923597,False,False,True,33,3.53683754539e-10,15.931325627,16.0833313328
57,57,52.2209769905,31.1481967041,12.3753112107,0.0244848394576,0.0132028498581,0.0179797013089,160.365190662,0.00411621600841,7.91463338197,0.334197794683,0.136889929353,0.345935141424,0.332299452823,2.24191784216,231.110219626,0.000289897606677,2.00055255257,0.16165674693,214.635297381,55.6336425785,0.259200808335,False,True,False,64,7.2035508339e-11,2.5916644592,14.1085627883
58,58,52.2896111705,31.2465147125,837.218760222,0.0542839611001,0.0230653373568,0.0353847124594,142.863512462,0.0146752048996,7.71786279106,0.390126453652,0.322748506492,0.437972614017,0.381993398604,9.70314982863,55.8357749063,0.00485963969054,6.31084785505,0.00753787200538,6549.52337906,89.1747793951,0.0136154608868,False,False,True,25,7.08645238863e-10,12.8630636676,13.547252133
59,59,52.1333446322,31.2541074714,212.733555463,0.0745017631181,0.0190448713062,0.037667976992,16.7590112165,0.018791420908,7.72514620807,0.17749987741,0.249351214935,0.231480401206,0.167353427593,2.73302802966,352.638467918,0.00155113168785,1.87663096434,0.00882150895401,1212.5836943,24.9101639403,0.0205430470963,False,False,True,32,7.86688617615e-10,7.16728200867,13.9664557986
60,60,52.1407460808,31.2653129023,1.574378249,0.0118104212774,0.00878950742326,0.010188610577,10.0202879917,0.00161069322068,8.14676759641,0.130862882736,0.0647689429438,0.213368268058,0.112355495092,1.39764236468,355.042115447,5.80344635135e-05,0.431273482562,0.27393257169,56.6090631897,21.164489471,0.373871042524,False,True,False,32,1.16159021233e-08,9.22035192503,14.0653225683
61,61,52.2580531374,31.3455020195,364.784623017,0.0308153997705,0.0281866068206,0.0294717077441,149.093936266,0.0110958866314,7.91624361913,0.277510113337,0.164750013123,0.35453831113,0.263240503121,2.03913182086,192.920384077,0.000708460917044,3.44436980692,0.00944220120476,5027.02439438,58.4351920974,0.0116242109672,False,False,True,33,6.65756627187e-10,15.8057504947,16.7750508235
62,62,52.2594847048,31.3439216317,187.261845841,0.0277488030035,0.0182880075438,0.02252710187,60.0228355081,0.00787450019001,7.93774453163,0.268220687274,0.156902895049,0.347666532394,0.253352212975,1.93302697316,205.528232724,0.000392381525618,2.53168240621,0.013519478006,2865.80952726,56.1919243058,0.019607696803,False,True,False,33,9.99181456281e-10,15.8850071042,17.1047751218
63,63,52.1561078443,31.0930506696,3823.9345262,0.0934695242772,0.0439472407054,0.0640915570261,53.6928332666,0.0762394791124,6.96170514479,0.160967901645,0.304877211977,0.208059017943,0.152172264611,1.70533043608,64.145662077,0.00280201321571,2.57959804686,0.000674592629446,17373.3148911,20.1243203205,0.00115834660493,False,False,True,63,1.73276987002e-10,5.6417269805,14.0801154432
64,64,52.2223126367,31.1567099068,81.1058209886,0.0646117915107,0.019108729692,0.035137576167,6.52166558411,0.011811750285,7.87468113377,0.400427150902,0.19035980111,0.406487854193,0.399458132216,12.6779622457,100.2862329,0.00626113467639,5.39815158183,0.0665568946351,533.067883472,76.8145127054,0.144098932026,False,False,True,64,5.18322767252e-11,1.58769050164,14.5814035314
